timestamp,user_id,model_name,prompt,parameters,output_url
2024-09-29T18:24:09.967052,5ee41194-046f-4b0f-ab7f-2475cd8d9319,Flux Pro,a lion of judah,"{'prompt': 'a lion of judah', 'steps': 28, 'guidance': 3.5, 'interval': 2, 'safety_tolerance': 2, 'aspect_ratio': '1:1', 'output_format': 'webp', 'output_quality': 80}",https://replicate.delivery/czjl/9ViLmTMr5z72Id7U7BfTj4ERX8IbiKp88Qrtevk5z3gJ10hTA/output.webp
2024-09-29T18:39:28.388385,5ee41194-046f-4b0f-ab7f-2475cd8d9319,Flux Dev Realism,a lion of judah,"{'prompt': 'a lion of judah', 'num_inference_steps': 28, 'guidance': 3.5, 'aspect_ratio': '1:1', 'output_format': 'webp', 'output_quality': 80, 'num_outputs': 1}",['https://replicate.delivery/yhqm/ntoZHQZeiOQZIytAzBAMeOEmeXni8B0gnr2px3bIKuMeNUHOB/R8_FLUX_DEV_REALISM_00001_.webp']
2024-09-29T18:42:07.717439,5ee41194-046f-4b0f-ab7f-2475cd8d9319,Flux Cinestill,"CNSTLL, a lion of judah","{'prompt': 'CNSTLL, a lion of judah', 'model': 'dev', 'num_inference_steps': 28, 'guidance_scale': 3.5, 'aspect_ratio': '1:1', 'output_format': 'webp', 'output_quality': 80, 'lora_scale': 0.8, 'prompt_strength': 0.8, 'extra_lora_scale': 0.8, 'num_outputs': 1}",['https://replicate.delivery/yhqm/2EAK0lOSpfQxDarKsCsyx5Waiegvmyago3NOg63mDhQeLqDnA/out-0.webp']
2024-09-29T18:46:19.090910,5ee41194-046f-4b0f-ab7f-2475cd8d9319,Flux Cinestill,"in the style of CNSTLL, a group of people talking and drinking beer at the pub in front a window, cinestill 800T, photorealistic","{'prompt': 'in the style of CNSTLL, a group of people talking and drinking beer at the pub in front a window, cinestill 800T, photorealistic', 'model': 'dev', 'num_inference_steps': 28, 'guidance_scale': 3.5, 'aspect_ratio': '1:1', 'output_format': 'webp', 'output_quality': 80, 'lora_scale': 0.8, 'prompt_strength': 0.8, 'extra_lora_scale': 0.8, 'num_outputs': 1}",['https://replicate.delivery/yhqm/650Mw0P2VBZLDdUzq4hXElGDqjjcnZEaaF7GlGx6Otkek6wJA/out-0.webp']
2024-09-29T18:47:06.537443,5ee41194-046f-4b0f-ab7f-2475cd8d9319,Flux Pro,"a  group of people talking and drinking beer at the pub in front a window, cinestill 800T, photorealistic","{'prompt': 'a  group of people talking and drinking beer at the pub in front a window, cinestill 800T, photorealistic', 'steps': 28, 'guidance': 3.5, 'interval': 2, 'safety_tolerance': 2, 'aspect_ratio': '1:1', 'output_format': 'webp', 'output_quality': 80}",https://replicate.delivery/czjl/7Z3Zi00TMnoMGVA2ujdPIAKUdkKq2Ckn2jD8m3cyK8cqSd4E/output.webp
2024-09-29T18:49:42.586801,5ee41194-046f-4b0f-ab7f-2475cd8d9319,Flux Half Illustration,"In the style of TOK, a person strikes a bold action pose in Paris, pulling down their quirky 90s round sunglasses while standing against the backdrop of the Eiffel Tower at sunset. They wear a vividly illustrated jacket, encircled by illustrations of flowers, swirling smoke, flames, French pastries, sparkles, and rock and roll vibes.","{'prompt': 'In the style of TOK, a person strikes a bold action pose in Paris, pulling down their quirky 90s round sunglasses while standing against the backdrop of the Eiffel Tower at sunset. They wear a vividly illustrated jacket, encircled by illustrations of flowers, swirling smoke, flames, French pastries, sparkles, and rock and roll vibes.', 'model': 'dev', 'num_inference_steps': 28, 'guidance_scale': 3.5, 'aspect_ratio': '1:1', 'output_format': 'webp', 'output_quality': 80, 'lora_scale': 0.8, 'prompt_strength': 0.8, 'extra_lora_scale': 0.8, 'num_outputs': 1}",['https://replicate.delivery/yhqm/aflpZcrR0AxnRS03H1XOe4tUTl0qwZgPEwstxNcYMZqGN1hTA/out-0.webp']
2024-09-29T19:54:21.657424,d4e3a9d9-8428-4fd3-ade0-003a2965163f,Kocchaga,"P5GLTKH style: A medium-close-up view of a large historical steamship that is made up of two large wooden ships. The ship is facing left, and it is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two smaller poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and are being held up by two large wooden poles. The sails are being lit up by the steam steam, and along the steam there are white sails. The sails are being lit up by the sun, and along the top portion of the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lines that run vertically.","{""model"": ""dev"", ""num_inference_steps"": 28, ""guidance_scale"": 3.5, ""aspect_ratio"": ""1:1"", ""output_format"": ""webp"", ""output_quality"": 80, ""lora_scale"": 0.8, ""prompt_strength"": 0.8, ""extra_lora_scale"": 0.8, ""extra_lora"": """", ""num_outputs"": 1, ""prompt"": ""P5GLTKH style: A medium-close-up view of a large historical steamship that is made up of two large wooden ships. The ship is facing left, and it is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two smaller poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and are being held up by two large wooden poles. The sails are being lit up by the steam steam, and along the steam there are white sails. The sails are being lit up by the sun, and along the top portion of the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lines that run vertically.""}","[""https://replicate.delivery/yhqm/v6imIlfB2awQEiDtHjKYnA9YKpmGTQmeMfKGiTkXd8HaTsDnA/out-0.webp""]","[""P5GLTKH - historical steamship with both sails and a steam engine. The ship features paddle wheels on the sides, indicating it is a paddle steamer, a common type of vessel during the 19th century. It has masts with sails furled, showing that it could use both wind and steam power, a hallmark of early steamships."", ""A medium-close-up view of a large historical steamship that is made up of two large wooden ships. The ship is facing left, and it is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two smaller poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and are being held up by two large wooden poles. The sails are being lit up by the steam steam, and along the steam there are white sails. The sails are being lit up by the sun, and along the top portion of the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lines that run vertically."", ""A medium-close-up view of a large historical steamship that is made up of two large wooden ships. The ship is facing left, and it is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two smaller poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and are being held up by two large wooden poles. The sails are being lit up by the steam steam, and along the steam there are white sails. The sails are being lit up by the sun, and along the top portion of the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lines that run vertically."", ""P5GLTKH style: A medium-close-up view of a large historical steamship that is made up of two large wooden ships. The ship is facing left, and it is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two smaller poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and are being held up by two large wooden poles. The sails are being lit up by the steam steam, and along the steam there are white sails. The sails are being lit up by the sun, and along the top portion of the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lines that run vertically.""]"
2024-09-29T19:56:58.266083,d4e3a9d9-8428-4fd3-ade0-003a2965163f,Kocchaga,P5GLTKH style: A medium-close-up view of a large historical steamship that is made up of two large wooden ships.,"{""model"": ""dev"", ""num_inference_steps"": 28, ""guidance_scale"": 3.5, ""aspect_ratio"": ""1:1"", ""output_format"": ""webp"", ""output_quality"": 80, ""lora_scale"": 0.8, ""prompt_strength"": 0.8, ""extra_lora_scale"": 0.8, ""extra_lora"": """", ""num_outputs"": 1, ""prompt"": ""P5GLTKH style: A medium-close-up view of a large historical steamship that is made up of two large wooden ships.""}","[""https://replicate.delivery/yhqm/4zXKfO8lNPQ6XCXmG9G6pytqc6MQDvYSAeZL1Qo1MrDJM2hTA/out-0.webp""]","[""P5GLTKH - historical steamship with both sails and a steam engine. The ship features paddle wheels on the sides, indicating it is a paddle steamer, a common type of vessel during the 19th century. It has masts with sails furled, showing that it could use both wind and steam power, a hallmark of early steamships."", ""A medium-close-up view of a large historical steamship that is made up of two large wooden ships. The ship is facing left, and it is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two smaller poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and are being held up by two large wooden poles. The sails are being lit up by the steam steam, and along the steam there are white sails. The sails are being lit up by the sun, and along the top portion of the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lines that run vertically."", ""A medium-close-up view of a large historical steamship that is made up of two large wooden ships. The ship is facing left, and it is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two smaller poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and are being held up by two large wooden poles. The sails are being lit up by the steam steam, and along the steam there are white sails. The sails are being lit up by the sun, and along the top portion of the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lines that run vertically."", ""P5GLTKH style: A medium-close-up view of a large historical steamship that is made up of two large wooden ships. The ship is facing left, and it is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and horizontally. The top portion of the ship is made up of two smaller poles that run vertically and horizontally. The top portion of the ship is made up of two large wooden poles that run vertically and are being held up by two large wooden poles. The sails are being lit up by the steam steam, and along the steam there are white sails. The sails are being lit up by the sun, and along the top portion of the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lights. The steam is being lit up by the sun, and along the steam there are small white lines that run vertically."", ""P5GLTKH style: A medium-close-up view of a large historical steamship that is made up of two large wooden ships.""]"
2024-09-29T20:00:06.819880,0531124a-2972-4e73-867e-35272b81c4d5,Flux Cinestill,CNSTL highway futuristic,"{""model"": ""dev"", ""num_inference_steps"": 34, ""guidance_scale"": 4.0, ""aspect_ratio"": ""1:1"", ""output_format"": ""webp"", ""output_quality"": 95, ""lora_scale"": 0.9, ""prompt_strength"": 0.8, ""extra_lora_scale"": 0.8, ""num_outputs"": 1, ""prompt"": ""CNSTLL, CNSTL highway futuristic""}","[""https://replicate.delivery/yhqm/eiGLkDzOvbxmQi7RWt7SSaBmySSV0SSbzsY2y3E59bsiH7wJA/out-0.webp""]","[""CNSTL highway futuristic""]"
2024-09-29T20:01:04.265592,0531124a-2972-4e73-867e-35272b81c4d5,Flux Dev Realism,highway futuristic,"{""num_inference_steps"": 34, ""guidance"": 4.0, ""aspect_ratio"": ""1:1"", ""output_format"": ""webp"", ""output_quality"": 95, ""num_outputs"": 1, ""prompt"": ""highway futuristic""}","[""https://replicate.delivery/yhqm/bR8XkpX5jx4fdiKbfygMF7CN9yuLf6JxL1eMqtV4iAMffjd4E/R8_FLUX_DEV_REALISM_00001_.webp""]","[""CNSTL highway futuristic"", ""highway futuristic""]"
2024-09-29T20:05:47.408284,0531124a-2972-4e73-867e-35272b81c4d5,Flux Thumbnails,"A close-up shot of a Thumbnail in the style of TOK. The woman has long black hair and is wearing a black top. She is looking to the left and is smiling. Her arms are crossed in front of her, and she is wearing a black top. The background is a green football field with a white goal post and a blue goal post. The lights are shining on the field and the woman. The background is blurry. The image is very detailed and realistic.","{""model"": ""dev"", ""num_inference_steps"": 34, ""guidance_scale"": 4.3, ""aspect_ratio"": ""1:1"", ""output_format"": ""webp"", ""output_quality"": 95, ""lora_scale"": 0.8, ""prompt_strength"": 0.8, ""extra_lora_scale"": 0.8, ""num_outputs"": 1, ""prompt"": ""A close-up shot of a Thumbnail in the style of TOK. The woman has long black hair and is wearing a black top. She is looking to the left and is smiling. Her arms are crossed in front of her, and she is wearing a black top. The background is a green football field with a white goal post and a blue goal post. The lights are shining on the field and the woman. The background is blurry. The image is very detailed and realistic.""}","[""https://replicate.delivery/yhqm/LNTew3l714wqEqZePoAolRdPMjWLDvwEhmDfriOM4eToRZHOB/out-0.webp""]","[""CNSTL highway futuristic"", ""highway futuristic"", ""A close-up shot of a Thumbnail in the style of the art deco. The woman has long black hair and is wearing a black top. She is looking to the left and is smiling. Her arms are crossed in front of her, and she is wearing a black top. The background is a green football field with a white goal post and a blue goal post. The lights are shining on the field and the woman. The background is blurry. The image is very detailed and realistic."", ""A close-up shot of a Thumbnail in the style of TOK. The woman has long black hair and is wearing a black top. She is looking to the left and is smiling. Her arms are crossed in front of her, and she is wearing a black top. The background is a green football field with a white goal post and a blue goal post. The lights are shining on the field and the woman. The background is blurry. The image is very detailed and realistic.""]"
2024-09-29T20:24:48.119419,a3e7e581-39c4-48e7-bedc-e347f49bcdbe,Flux Thumbnails,"Thumbnail in the style of TOK, close up shot of a mafia mob gangster, in the background is a cruise ship in gold color in the sea, text “$1 Million”, realistic ","{""model"": ""dev"", ""num_inference_steps"": 28, ""guidance_scale"": 3.5, ""aspect_ratio"": ""1:1"", ""output_format"": ""webp"", ""output_quality"": 100, ""lora_scale"": 1.0, ""prompt_strength"": 0.8, ""extra_lora_scale"": 0.8, ""num_outputs"": 2, ""prompt"": ""Thumbnail in the style of TOK, close up shot of a mafia mob gangster, in the background is a cruise ship in gold color in the sea, text \u201c$1 Million\u201d, realistic ""}","[""https://replicate.delivery/yhqm/9ucFOpgBfGzEEiPeUOW8laNKKecIPBeQygmHH26oe2qyx0OcC/out-0.webp"", ""https://replicate.delivery/yhqm/GWUT1C32YrpHNJYFvCkSXcTAeUftVFrpcEes6C6jCcseYaHOB/out-1.webp""]","[""Thumbnail in the style of TOK, close up shot of a mafia mob gangster, in the background is a cruise ship in gold color in the sea, text \u201c$1 Million\u201d, realistic ""]"
2024-09-29T20:29:07.192290,a3e7e581-39c4-48e7-bedc-e347f49bcdbe,Flux Half Illustration,"A detailed digital illustration of a futuristic Tokyo scene: a person, clad in black, pulls a wacky black jacket with a patterned hood, pulls a black hat, and a large curved sphere of glass and metal, pulling amidst a kaleidoscope of colorful bonsai trees. The illustration captures the action and excitement of the moment, with a large, colorful, and colorful umbrella, amidst a dark background.. Add the text 'JOANNA' written in a legible way on the image with typography styles: Gradient.","{""model"": ""dev"", ""num_inference_steps"": 28, ""guidance_scale"": 3.5, ""aspect_ratio"": ""1:1"", ""output_format"": ""webp"", ""output_quality"": 100, ""lora_scale"": 1.0, ""prompt_strength"": 0.8, ""extra_lora_scale"": 1.0, ""num_outputs"": 2, ""prompt"": ""In the style of TOK, A detailed digital illustration of a futuristic Tokyo scene: a person, clad in black, pulls a wacky black jacket with a patterned hood, pulls a black hat, and a large curved sphere of glass and metal, pulling amidst a kaleidoscope of colorful bonsai trees. The illustration captures the action and excitement of the moment, with a large, colorful, and colorful umbrella, amidst a dark background.. Add the text 'JOANNA' written in a legible way on the image with typography styles: Gradient.""}","[""https://replicate.delivery/yhqm/0v2XBprOmXKfQii09dLUn34JLkbpYn2Lft6i5wJMVcsSq2hTA/out-0.webp"", ""https://replicate.delivery/yhqm/TvFmXAsYTI5mFdUx8Qc1eqxa2U9ftUymPifVKQVV86RlUtDnA/out-1.webp""]","[""Thumbnail in the style of TOK, close up shot of a mafia mob gangster, in the background is a cruise ship in gold color in the sea, text \u201c$1 Million\u201d, realistic "", ""In the style of TOK, a photo editorial avant-garde dramatic action pose of a person wearing 90s round wacky sunglasses pulling glasses down looking forward, in Tokyo with large marble structures and bonsai trees at sunset with a vibrant illustrated jacket surrounded by illustrations of flowers, smoke, flames, ice cream, sparkles, rock and roll"", ""In the style of TOK, a photo editorial avant-garde dramatic action pose of a person wearing 90s round wacky sunglasses pulling glasses down looking forward, in Tokyo with large marble structures and bonsai trees at sunset with a vibrant illustrated jacket surrounded by illustrations of flowers, smoke, flames, ice cream, sparkles, rock and roll"", ""A detailed digital illustration of a futuristic Tokyo scene: a person, clad in black, pulls a wacky black jacket with a patterned hood, pulls a black hat, and a large curved sphere of glass and metal, pulling amidst a kaleidoscope of colorful bonsai trees. The illustration captures the action and excitement of the moment, with a large, colorful, and colorful umbrella, amidst a dark background.""]"
2024-09-29T22:32:32.420363,e94d7508-b59c-4f1b-a4b8-3d757b2dd156,Flux Pro,un couple avec leurs enfants courant sur une plage de polynésie,"{'steps': 25, 'guidance': 3.0, 'interval': 2.0, 'aspect_ratio': '1:1', 'output_format': 'png', 'output_quality': 80, 'safety_tolerance': 2, 'seed': None}",https://replicate.delivery/czjl/okuWCfIyyVzFVqmvqqtnW2oyWJ4GGDDiLxbPOYXcfDxf7wDnA/output.png,"user: un couple avec leurs enfants courant sur une plage de polynésie
assistant: Je génère une image basée sur votre demande.
image: https://replicate.delivery/czjl/okuWCfIyyVzFVqmvqqtnW2oyWJ4GGDDiLxbPOYXcfDxf7wDnA/output.png
assistant: Voici l'image générée en fonction de votre demande."
2024-09-29T23:14:39.989089,4a1441af-7cbd-4c48-9a02-ed3531aace74,Flux Pro,a lion of judah,{'steps': 25},https://replicate.delivery/czjl/LXjaefeoLFLHGoELelJL8eT8tRVffBxee7Nme6KRXEEkerIPcC/output.webp,
2024-09-29T23:15:18.593824,4a1441af-7cbd-4c48-9a02-ed3531aace74,Flux Pro,a lion of judah,{'steps': 25},https://replicate.delivery/czjl/2A6j0yLOyhqtOZFtcAnApNH4Cq7AGTgFz0gqfPqTUoNDj8wJA/output.webp,
2024-09-29T23:15:52.493022,4a1441af-7cbd-4c48-9a02-ed3531aace74,Flux Pro,a lion of judah,{'steps': 25},https://replicate.delivery/czjl/YwmesheHmilByk56HP8wfxjNbWnfXqWpOaEyAS3h7yhhakHOB/output.webp,
2024-09-30T09:31:04.148762,484a2aff-d9d2-4faa-8dbb-dc9e52ee40ea,flux-cross-section-config,"yellow submarine, XSEC cross section","{""aspect_ratio"": ""1:1"", ""output_format"": ""webp"", ""output_quality"": 80, ""num_outputs"": 1, ""seed"": 0, ""guidance_scale"": 3.5, ""num_inference_steps"": 28, ""lora_scale"": 1.0}","[""https://replicate.delivery/yhqm/DXllU5yB1DbEHhMkseygwZdHMznItJCYDmyS9njbBqurDBxJA/out-0.webp""]","[""yellow submarine, XSEC cross section""]"
